49.98	 b
89.94	 r
70.03	 g
90.12	 r
49.93	 b
49.99	 b
70.07	 g
89.92	 r
90.15	 r
90.13	 r
49.93	 b
70.02	 g
49.99	 b
49.91	 b
49.99	 b
70.03	 g
69.93	 g
50.01	 b
89.91	 r
49.96	 b
70.02	 g
89.93	 r
69.99	 g
49.96	 b
49.97	 b
50.04	 b
49.97	 b
69.89	 g
69.98	 g
49.96	 b
89.91	 r
49.99	 b
90.01	 r
49.94	 b
49.86	 b
70.05	 g
49.99	 b
50.04	 b
50.02	 b
90.	 r
49.94	 b
69.97	 g
49.97	 b
89.86	 r
50.06	 b
89.9	 r
89.93	 r
70.04	 g
70.06	 g
70.06	 g
69.97	 g
69.99	 g
50.09	 b
50.08	 b
90.02	 r
50.1	 b
50.04	 b
70.04	 g
69.97	 g
49.89	 b
89.95	 r
70.04	 g
89.94	 r
70.03	 g
90.09	 r
50.	 b
50.03	 b
70.01	 g
69.91	 g
50.08	 b
90.15	 r
89.94	 r
49.92	 b
50.07	 b
50.04	 b
90.11	 r
50.04	 b
90.03	 r
90.09	 r
50.07	 b
70.07	 g
69.97	 g
70.	 g
70.12	 g
89.93	 r
50.03	 b
50.17	 b
69.96	 g
49.88	 b
50.	 b
90.05	 r
89.87	 r
70.1	 g
69.93	 g
90.04	 r
69.99	 g
49.99	 b
50.	 b
69.99	 g
49.89	 b
69.94	 g
49.9	 b
90.03	 r
49.94	 b
49.96	 b
50.11	 b
69.92	 g
70.11	 g
90.06	 r
70.03	 g
69.95	 g
70.06	 g
50.06	 b
69.99	 g
70.02	 g
69.96	 g
50.1	 b
50.06	 b
90.04	 r
90.01	 r
